"SITUACAO_CC","DURACAO_EMPRESTIMO","HISTORICO_CREDITO","PROPOSITO","TOTAL_CREDITO","POUPANCA","EMPREGADO_DESDE","TAXA_PAGTO","GENERO_ESTADO_CIVIL","DEVEDOR_FIADOR","ANOS_RESIDENCIA","BENS","IDADE","OUTROS_EMPRESTIMOS","HABITACAO","CREDITOS_EXISTENTES","TRABALHO","Number of people being liable to provide maintenance for","TELEFONE","TRABALHADOR_ESTRANGEIRO","Score"
"Negativa",15,"créditos existentes pagos devidamente até agora","carro (novo)",1403,"menos de 100","1 a 4 anos",2,"mulher (divorciada/separada/casada)","Nenhum",4,"carro ou outro",28,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Negativa",24,"créditos existentes pagos devidamente até agora","rádio/televisão",1282,"100 a 500","1 a 4 anos",4,"mulher (divorciada/separada/casada)","Nenhum",2,"carro ou outro",32,"Nenhum","próprio",1,"não qualificado - residente",1,"Nenhum","Sim","ruim"
"Não Possui CC",24,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",2424,"desconhecido/sem conta poupança","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",53,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Negativa",30,"nenhum crédito recebido / todos os créditos pagos devidamente","negócios",8072,"desconhecido/sem conta poupança","menos de 1 ano",2,"masculino (solteiro)","Nenhum",3,"carro ou outro",25,"banco","próprio",3,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",24,"créditos existentes pagos devidamente até agora","carro (usado)",12579,"menos de 100","mais de 7 anos",4,"mulher (divorciada/separada/casada)","Nenhum",2,"desconhecido/sem propriedade",44,"Nenhum","de graça",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",24,"créditos existentes pagos devidamente até agora","rádio/televisão",3430,"500 a 1000","mais de 7 anos",3,"masculino (solteiro)","Nenhum",2,"carro ou outro",31,"Nenhum","próprio",1,"funcionário/funcionário qualificado",2,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",9,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",2134,"menos de 100","1 a 4 anos",4,"masculino (solteiro)","Nenhum",4,"carro ou outro",48,"Nenhum","próprio",3,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",6,"créditos existentes pagos devidamente até agora","rádio/televisão",2647,"500 a 1000","1 a 4 anos",2,"masculino (solteiro)","Nenhum",3,"imóvel",44,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","bom"
"Negativa",10,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",2241,"menos de 100","menos de 1 ano",1,"masculino (solteiro)","Nenhum",3,"imóvel",48,"Nenhum","aluguel",2,"não qualificado - residente",2,"Nenhum","Não","bom"
"0 - 200",12,"conta crítica/outros créditos existentes (não neste banco)","carro (usado)",1804,"100 a 500","menos de 1 ano",3,"masculino (solteiro)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",44,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",10,"conta crítica/outros créditos existentes (não neste banco)","móveis/equipamentos",2069,"desconhecido/sem conta poupança","1 a 4 anos",2,"homem (casado/viúvo)","Nenhum",1,"carro ou outro",26,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Não","bom"
"Negativa",6,"créditos existentes pagos devidamente até agora","móveis/equipamentos",1374,"menos de 100","1 a 4 anos",1,"masculino (solteiro)","Nenhum",2,"imóvel",36,"banco","próprio",1,"não qualificado - residente",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",6,"nenhum crédito recebido / todos os créditos pagos devidamente","rádio/televisão",426,"menos de 100","mais de 7 anos",4,"homem (casado/viúvo)","Nenhum",4,"carro ou outro",39,"Nenhum","próprio",1,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Acima de 200",12,"todos os créditos neste banco foram devidamente pagos","rádio/televisão",409,"mais de 1000","1 a 4 anos",3,"mulher (divorciada/separada/casada)","Nenhum",3,"imóvel",42,"Nenhum","aluguel",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",7,"créditos existentes pagos devidamente até agora","rádio/televisão",2415,"menos de 100","1 a 4 anos",3,"masculino (solteiro)","fiador",2,"imóvel",34,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Negativa",60,"atraso no pagamento no passado","negócios",6836,"menos de 100","mais de 7 anos",3,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",63,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","ruim"
"0 - 200",18,"créditos existentes pagos devidamente até agora","negócios",1913,"mais de 1000","menos de 1 ano",3,"homem (casado/viúvo)","Nenhum",3,"imóvel",36,"banco","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",24,"créditos existentes pagos devidamente até agora","móveis/equipamentos",4020,"menos de 100","1 a 4 anos",2,"masculino (solteiro)","Nenhum",2,"carro ou outro",27,"lojas","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",18,"créditos existentes pagos devidamente até agora","carro (novo)",5866,"100 a 500","1 a 4 anos",2,"masculino (solteiro)","Nenhum",2,"carro ou outro",30,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",12,"conta crítica/outros créditos existentes (não neste banco)","negócios",1264,"desconhecido/sem conta poupança","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",57,"Nenhum","aluguel",1,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Acima de 200",12,"créditos existentes pagos devidamente até agora","móveis/equipamentos",1474,"menos de 100","menos de 1 ano",4,"mulher (divorciada/separada/casada)","Nenhum",1,"contrato de poupança/seguro de vida da sociedade de construção",33,"banco","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",45,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",4746,"menos de 100","menos de 1 ano",4,"masculino (solteiro)","Nenhum",2,"contrato de poupança/seguro de vida da sociedade de construção",25,"Nenhum","próprio",2,"não qualificado - residente",1,"Nenhum","Sim","ruim"
"Não Possui CC",48,"conta crítica/outros créditos existentes (não neste banco)","Educação",6110,"menos de 100","1 a 4 anos",1,"masculino (solteiro)","Nenhum",3,"desconhecido/sem propriedade",31,"banco","de graça",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Acima de 200",18,"créditos existentes pagos devidamente até agora","rádio/televisão",2100,"menos de 100","1 a 4 anos",4,"masculino (solteiro)","co-requerente",2,"imóvel",37,"lojas","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Acima de 200",10,"créditos existentes pagos devidamente até agora","eletrodomésticos",1225,"menos de 100","1 a 4 anos",2,"masculino (solteiro)","Nenhum",2,"carro ou outro",37,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",9,"créditos existentes pagos devidamente até agora","rádio/televisão",458,"menos de 100","1 a 4 anos",4,"masculino (solteiro)","Nenhum",3,"imóvel",24,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",30,"créditos existentes pagos devidamente até agora","rádio/televisão",2333,"500 a 1000","mais de 7 anos",4,"masculino (solteiro)","Nenhum",2,"carro ou outro",30,"banco","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"Nenhum","Sim","bom"
"0 - 200",12,"créditos existentes pagos devidamente até agora","rádio/televisão",1158,"500 a 1000","1 a 4 anos",3,"homem (divorciado/separado)","Nenhum",1,"carro ou outro",26,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",18,"atraso no pagamento no passado","reparos",6204,"menos de 100","1 a 4 anos",2,"masculino (solteiro)","Nenhum",4,"imóvel",44,"Nenhum","próprio",1,"não qualificado - residente",2,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",30,"conta crítica/outros créditos existentes (não neste banco)","carro (usado)",6187,"100 a 500","4 a 7 anos",1,"homem (casado/viúvo)","Nenhum",4,"carro ou outro",24,"Nenhum","aluguel",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Negativa",48,"conta crítica/outros créditos existentes (não neste banco)","carro (usado)",6143,"menos de 100","mais de 7 anos",4,"mulher (divorciada/separada/casada)","Nenhum",4,"desconhecido/sem propriedade",58,"lojas","de graça",2,"não qualificado - residente",1,"Nenhum","Sim","ruim"
"Não Possui CC",11,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",1393,"menos de 100","menos de 1 ano",4,"mulher (divorciada/separada/casada)","Nenhum",4,"carro ou outro",35,"Nenhum","próprio",2,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"Nenhum","Sim","bom"
"Não Possui CC",36,"créditos existentes pagos devidamente até agora","rádio/televisão",2299,"500 a 1000","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"carro ou outro",39,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Negativa",6,"créditos existentes pagos devidamente até agora","carro (usado)",1352,"500 a 1000","Desempregado",1,"mulher (divorciada/separada/casada)","Nenhum",2,"contrato de poupança/seguro de vida da sociedade de construção",23,"Nenhum","aluguel",1,"desempregado / não qualificado - não residente",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",11,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",7228,"menos de 100","1 a 4 anos",1,"masculino (solteiro)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",39,"Nenhum","próprio",2,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Não Possui CC",12,"créditos existentes pagos devidamente até agora","rádio/televisão",2073,"100 a 500","1 a 4 anos",4,"mulher (divorciada/separada/casada)","co-requerente",2,"imóvel",28,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",24,"atraso no pagamento no passado","móveis/equipamentos",2333,"desconhecido/sem conta poupança","menos de 1 ano",4,"masculino (solteiro)","Nenhum",2,"contrato de poupança/seguro de vida da sociedade de construção",29,"banco","próprio",1,"não qualificado - residente",1,"Nenhum","Sim","bom"
"0 - 200",27,"atraso no pagamento no passado","carro (usado)",5965,"menos de 100","mais de 7 anos",1,"masculino (solteiro)","Nenhum",2,"carro ou outro",30,"Nenhum","próprio",2,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",12,"créditos existentes pagos devidamente até agora","rádio/televisão",1262,"menos de 100","1 a 4 anos",3,"masculino (solteiro)","Nenhum",2,"carro ou outro",25,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",18,"créditos existentes pagos devidamente até agora","carro (usado)",3378,"desconhecido/sem conta poupança","1 a 4 anos",2,"masculino (solteiro)","Nenhum",1,"contrato de poupança/seguro de vida da sociedade de construção",31,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",36,"atraso no pagamento no passado","carro (novo)",2225,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",57,"banco","de graça",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",6,"todos os créditos neste banco foram devidamente pagos","carro (novo)",783,"desconhecido/sem conta poupança","1 a 4 anos",1,"masculino (solteiro)","fiador",2,"imóvel",26,"lojas","próprio",1,"não qualificado - residente",2,"Nenhum","Sim","bom"
"0 - 200",12,"créditos existentes pagos devidamente até agora","rádio/televisão",6468,"desconhecido/sem conta poupança","Desempregado",2,"masculino (solteiro)","Nenhum",1,"desconhecido/sem propriedade",52,"Nenhum","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",36,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",9566,"menos de 100","1 a 4 anos",2,"mulher (divorciada/separada/casada)","Nenhum",2,"carro ou outro",31,"lojas","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Acima de 200",18,"créditos existentes pagos devidamente até agora","carro (novo)",1961,"menos de 100","mais de 7 anos",3,"mulher (divorciada/separada/casada)","Nenhum",2,"carro ou outro",23,"Nenhum","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"Nenhum","Sim","bom"
"Negativa",36,"conta crítica/outros créditos existentes (não neste banco)","móveis/equipamentos",6229,"menos de 100","menos de 1 ano",4,"mulher (divorciada/separada/casada)","co-requerente",4,"desconhecido/sem propriedade",23,"Nenhum","aluguel",2,"não qualificado - residente",1,"sim, registrado em nome do cliente","Sim","ruim"
"0 - 200",9,"créditos existentes pagos devidamente até agora","negócios",1391,"menos de 100","1 a 4 anos",2,"homem (casado/viúvo)","Nenhum",1,"imóvel",27,"banco","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",15,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",1537,"desconhecido/sem conta poupança","mais de 7 anos",4,"masculino (solteiro)","fiador",4,"imóvel",50,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",36,"nenhum crédito recebido / todos os créditos pagos devidamente","negócios",1953,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",61,"Nenhum","de graça",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","ruim"
"0 - 200",48,"nenhum crédito recebido / todos os créditos pagos devidamente","negócios",14421,"menos de 100","1 a 4 anos",2,"masculino (solteiro)","Nenhum",2,"carro ou outro",25,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",24,"créditos existentes pagos devidamente até agora","rádio/televisão",3181,"menos de 100","menos de 1 ano",4,"mulher (divorciada/separada/casada)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",26,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",27,"créditos existentes pagos devidamente até agora","reparos",5190,"desconhecido/sem conta poupança","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",48,"Nenhum","próprio",4,"funcionário/funcionário qualificado",2,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",12,"créditos existentes pagos devidamente até agora","rádio/televisão",2171,"menos de 100","menos de 1 ano",2,"mulher (divorciada/separada/casada)","Nenhum",2,"carro ou outro",29,"banco","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",12,"créditos existentes pagos devidamente até agora","carro (novo)",1007,"mais de 1000","1 a 4 anos",4,"homem (casado/viúvo)","Nenhum",1,"imóvel",22,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",36,"créditos existentes pagos devidamente até agora","Educação",1819,"menos de 100","1 a 4 anos",4,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",37,"lojas","de graça",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",36,"créditos existentes pagos devidamente até agora","rádio/televisão",2394,"desconhecido/sem conta poupança","1 a 4 anos",4,"mulher (divorciada/separada/casada)","Nenhum",4,"carro ou outro",25,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",36,"créditos existentes pagos devidamente até agora","carro (usado)",8133,"menos de 100","1 a 4 anos",1,"mulher (divorciada/separada/casada)","Nenhum",2,"contrato de poupança/seguro de vida da sociedade de construção",30,"banco","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",7,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",730,"desconhecido/sem conta poupança","mais de 7 anos",4,"masculino (solteiro)","Nenhum",2,"contrato de poupança/seguro de vida da sociedade de construção",46,"Nenhum","aluguel",2,"não qualificado - residente",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",8,"conta crítica/outros créditos existentes (não neste banco)","outros",1164,"menos de 100","mais de 7 anos",3,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",51,"banco","de graça",2,"gerente / autônomo / funcionário altamente qualificado / diretor",2,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",42,"conta crítica/outros créditos existentes (não neste banco)","negócios",5954,"menos de 100","4 a 7 anos",2,"mulher (divorciada/separada/casada)","Nenhum",1,"imóvel",41,"banco","próprio",2,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Negativa",36,"créditos existentes pagos devidamente até agora","Educação",1977,"desconhecido/sem conta poupança","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",40,"Nenhum","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","ruim"
"Negativa",12,"conta crítica/outros créditos existentes (não neste banco)","carro (usado)",1526,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",66,"Nenhum","de graça",2,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"Nenhum","Sim","bom"
"Negativa",42,"créditos existentes pagos devidamente até agora","rádio/televisão",3965,"menos de 100","menos de 1 ano",4,"masculino (solteiro)","Nenhum",3,"carro ou outro",34,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"0 - 200",11,"atraso no pagamento no passado","rádio/televisão",4771,"menos de 100","4 a 7 anos",2,"masculino (solteiro)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",51,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",54,"nenhum crédito recebido / todos os créditos pagos devidamente","carro (usado)",9436,"desconhecido/sem conta poupança","1 a 4 anos",2,"masculino (solteiro)","Nenhum",2,"contrato de poupança/seguro de vida da sociedade de construção",39,"Nenhum","próprio",1,"não qualificado - residente",2,"Nenhum","Sim","bom"
"0 - 200",30,"créditos existentes pagos devidamente até agora","móveis/equipamentos",3832,"menos de 100","menos de 1 ano",2,"homem (casado/viúvo)","Nenhum",1,"contrato de poupança/seguro de vida da sociedade de construção",22,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",24,"créditos existentes pagos devidamente até agora","rádio/televisão",5943,"desconhecido/sem conta poupança","menos de 1 ano",1,"mulher (divorciada/separada/casada)","Nenhum",1,"carro ou outro",44,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",15,"créditos existentes pagos devidamente até agora","rádio/televisão",1213,"500 a 1000","mais de 7 anos",4,"masculino (solteiro)","Nenhum",3,"contrato de poupança/seguro de vida da sociedade de construção",47,"lojas","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",18,"créditos existentes pagos devidamente até agora","negócios",1568,"100 a 500","1 a 4 anos",3,"mulher (divorciada/separada/casada)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",24,"Nenhum","aluguel",1,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Negativa",24,"créditos existentes pagos devidamente até agora","outros",1755,"menos de 100","mais de 7 anos",4,"mulher (divorciada/separada/casada)","fiador",4,"imóvel",58,"Nenhum","próprio",1,"não qualificado - residente",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",10,"créditos existentes pagos devidamente até agora","rádio/televisão",2315,"menos de 100","mais de 7 anos",3,"masculino (solteiro)","Nenhum",4,"imóvel",52,"Nenhum","próprio",1,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Não Possui CC",12,"conta crítica/outros créditos existentes (não neste banco)","negócios",1412,"menos de 100","1 a 4 anos",4,"mulher (divorciada/separada/casada)","fiador",2,"imóvel",29,"Nenhum","próprio",2,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",18,"conta crítica/outros créditos existentes (não neste banco)","móveis/equipamentos",1295,"menos de 100","menos de 1 ano",4,"mulher (divorciada/separada/casada)","Nenhum",1,"contrato de poupança/seguro de vida da sociedade de construção",27,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",36,"créditos existentes pagos devidamente até agora","Educação",12612,"100 a 500","1 a 4 anos",1,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",47,"Nenhum","de graça",1,"funcionário/funcionário qualificado",2,"sim, registrado em nome do cliente","Sim","ruim"
"Negativa",18,"créditos existentes pagos devidamente até agora","carro (novo)",2249,"100 a 500","4 a 7 anos",4,"masculino (solteiro)","Nenhum",3,"carro ou outro",30,"Nenhum","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",2,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",12,"nenhum crédito recebido / todos os créditos pagos devidamente","reparos",1108,"menos de 100","4 a 7 anos",4,"masculino (solteiro)","Nenhum",3,"imóvel",28,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Não Possui CC",12,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",618,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"imóvel",56,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Negativa",12,"conta crítica/outros créditos existentes (não neste banco)","carro (usado)",1409,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",3,"imóvel",54,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",12,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",797,"desconhecido/sem conta poupança","mais de 7 anos",4,"mulher (divorciada/separada/casada)","Nenhum",3,"contrato de poupança/seguro de vida da sociedade de construção",33,"banco","próprio",1,"não qualificado - residente",2,"Nenhum","Sim","ruim"
"Acima de 200",24,"conta crítica/outros créditos existentes (não neste banco)","móveis/equipamentos",3617,"desconhecido/sem conta poupança","mais de 7 anos",4,"masculino (solteiro)","co-requerente",4,"desconhecido/sem propriedade",20,"Nenhum","aluguel",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
