id_chamada;data;agente;tipo_solicitacao;atendido;resolvido;duracao_conversa;indice_satisfacao;tempo_espera
ID0032;2015-01-01 13:24:58;Joe;RegistroSinistro;S;S;00:00:57.141;RUIM;1880
ID0033;2015-01-01 13:33:36;Diane;Cotacao;S;S;00:06:17.930;BOM;
ID0034;2015-01-01 13:33:36;Jim;Sugestao;S;N;00:05:17.778;RUIM;120
ID0035;2015-01-01 13:42:14;Becky;RegistroSinistro;S;S;;BOM;
ID0036;2015-01-01 13:42:14;Diane;RegistroSinistro;N;N;00:06:38.450;;
ID0037;2015-01-01 13:42:14;Martha;Cotacao;S;N;00:01:48.980;RUIM;1240
ID0038;2015-01-01 13:42:14;Joe;Cotacao;S;N;00:03:07.135;RUIM;1440
ID0039;2015-01-01 14:38:24;Stewart;Informacao;S;S;00:00:53.913;RUIM;1260
ID0040;2015-01-01 14:38:24;Greg;Cotacao;S;S;00:06:12.757;BOM;
ID0041;2015-01-01 14:47:02;Jim;Cotacao;S;S;00:06:47.716;BOM;13
ID0042;2015-01-01 14:47:02;Greg;Informacao;S;S;00:03:30.698;BOM;15,5
ID0043;2015-01-01 14:47:02;Diane;Cotacao;S;S;;BOM;
ID0044;2015-01-01 14:47:02;Becky;Sugestao;S;S;00:06:53.702;BOM;20,5
ID0045;2015-01-01 15:44:38;Diane;Reclamacao;S;S;00:03:14.150;BOM;31,2
ID0046;2015-01-01 15:44:38;Jim;Informacao;N;N;00:01:03.753;;
ID0047;2015-01-01 17:13:55;Dan;Reclamacao;S;S;;RUIM;
ID0048;2015-01-01 17:13:55;Martha;Informacao;N;N;;;
ID0049;2015-01-01 17:25:26;Joe;Cotacao;S;S;;BOM;
ID0050;2015-01-01 17:25:26;Dan;Cotacao;N;N;;;
ID0051;2015-01-01 17:35:31;Martha;Informacao;N;N;00:00:31.734;;
ID0052;2015-01-01 17:35:31;Jim;Reclamacao;N;N;00:03:33.719;;
ID0053;2015-01-01 17:36:58;Stewart;Sugestao;S;S;00:00:35.261;BOM;6
ID0054;2015-01-01 17:36:58;Dan;Sugestao;S;S;00:00:46.992;BOM;39,5
ID0055;2015-01-01 17:44:10;Becky;RegistroSinistro;S;S;00:01:54.930;RUIM;130
ID0056;2015-01-01 17:44:10;Dan;RegistroSinistro;S;S;00:00:48.807;BOM;
ID0057;2015-01-01 17:57:07;Jim;Cotacao;S;S;00:00:43.950;RUIM;960
ID0058;2015-01-01 17:57:07;Stewart;Reclamacao;S;S;00:06:02.295;BOM;42,6
ID0059;2015-01-02 09:05:46;Dan;Cotacao;S;S;00:01:53.916;BOM;24
ID0060;2015-01-02 09:05:46;Dan;Informacao;S;S;00:02:23.211;BOM;
ID0061;2015-01-02 09:18:43;Diane;RegistroSinistro;S;S;00:02:07.458;RUIM;1180
ID0062;2015-01-02 09:18:43;Joe;Cotacao;N;N;00:05:43.615;;
ID0063;2015-01-02 09:20:10;Dan;RegistroSinistro;S;S;00:05:24.367;RUIM;820
ID0064;2015-01-02 09:20:10;Stewart;RegistroSinistro;S;S;00:04:43.420;RUIM;850
ID0065;2015-01-02 09:38:53;Jim;Informacao;S;S;00:06:57.608;RUIM;200
ID0066;2015-01-02 09:38:53;Diane;Cotacao;S;N;00:01:31.377;BOM;34,8
ID0067;2015-01-02 10:04:48;Jim;Informacao;S;S;00:04:23.003;BOM;7
ID0068;2015-01-02 10:04:48;Jim;Informacao;S;S;00:01:47.027;BOM;26,5
ID0069;2015-01-02 10:33:36;Diane;Informacao;S;S;00:02:58.534;BOM;42
ID0070;2015-01-02 10:33:36;Diane;Reclamacao;N;N;00:03:47.074;;
ID0071;2015-01-02 11:08:10;Joe;Cotacao;S;S;00:04:11.359;RUIM;1440
ID0072;2015-01-02 11:08:10;Stewart;Reclamacao;S;S;00:06:02.808;BOM;39,6
ID0073;2015-01-02 11:26:53;Greg;Sugestao;S;N;;BOM;
ID0074;2015-01-02 11:26:53;Becky;Informacao;S;S;;RUIM;
ID0075;2015-01-02 11:42:43;Stewart;Cotacao;S;N;00:01:21.055;BOM;
ID0076;2015-01-02 11:42:43;Diane;Reclamacao;N;N;00:05:26.250;;
ID0077;2015-01-02 11:47:02;Martha;Cotacao;S;S;;RUIM;
ID0078;2015-01-02 11:47:02;Dan;Informacao;S;S;00:02:49.736;RUIM;620
ID0079;2015-01-02 11:54:14;Becky;Informacao;S;S;00:05:46.870;BOM;
ID0080;2015-01-02 11:54:14;Dan;Reclamacao;S;S;00:04:24.113;BOM;32,4
ID0081;2015-01-02 12:00:00;Diane;Reclamacao;S;S;;BOM;
ID0082;2015-01-02 12:00:00;Greg;Sugestao;S;S;00:05:26.998;BOM;42,6
ID0083;2015-01-02 12:20:10;Stewart;Reclamacao;S;S;00:06:14.596;RUIM;720
ID0084;2015-01-02 12:20:10;Dan;Informacao;S;S;00:02:09.928;BOM;9,6
ID0085;2015-01-02 12:41:46;Becky;Cotacao;S;S;;BOM;
ID0086;2015-01-02 12:41:46;Martha;Cotacao;S;S;00:04:57.456;BOM;
ID0087;2015-01-02 12:44:38;Jim;Sugestao;N;N;00:05:32.182;;
ID0088;2015-01-02 12:44:38;Martha;Reclamacao;S;N;00:02:00.964;BOM;
ID0089;2015-01-02 12:59:02;Joe;Cotacao;S;N;00:02:51.367;BOM;56
ID0090;2015-01-02 12:59:02;Dan;RegistroSinistro;N;N;;;
ID0091;2015-01-02 13:03:22;Jim;Informacao;S;S;00:03:27.032;RUIM;1320
ID0092;2015-01-02 13:03:22;Stewart;Cotacao;S;S;00:04:50.285;BOM;
ID0093;2015-01-02 13:04:48;Jim;Cotacao;S;S;00:00:46.377;BOM;
ID0094;2015-01-02 13:04:48;Becky;Cotacao;S;S;00:03:13.976;BOM;
ID0095;2015-01-02 13:13:26;Diane;RegistroSinistro;S;S;;RUIM;
ID0096;2015-01-02 13:13:26;Stewart;Sugestao;S;S;00:04:11.145;RUIM;540
ID0097;2015-01-02 13:20:38;Greg;Informacao;S;S;;BOM;
ID0098;2015-01-02 13:20:38;Martha;RegistroSinistro;N;N;;;
ID0099;2015-01-02 13:20:38;Dan;Informacao;S;S;00:06:18.780;BOM;
ID0100;2015-01-02 13:20:38;Diane;Cotacao;S;S;;RUIM;
ID0101;2015-01-02 13:45:07;Becky;Cotacao;N;N;00:04:02.323;;
ID0102;2015-01-02 13:45:07;Martha;Cotacao;S;N;;RUIM;
ID0103;2015-01-02 13:49:26;Diane;Sugestao;S;S;00:00:52.786;RUIM;400
ID0104;2015-01-02 13:49:26;Martha;Informacao;S;S;;RUIM;
ID0105;2015-01-02 13:53:46;Becky;Cotacao;S;S;;BOM;
ID0106;2015-01-02 13:53:46;Becky;Sugestao;S;S;00:01:26.190;BOM;
ID0107;2015-01-02 14:22:34;Joe;RegistroSinistro;N;N;00:02:27.377;;
ID0108;2015-01-02 14:22:34;Becky;Informacao;S;N;;RUIM;
ID0109;2015-01-02 14:52:48;Stewart;Reclamacao;N;N;00:05:22.240;;
ID0110;2015-01-02 14:52:48;Joe;RegistroSinistro;S;S;00:00:35.297;RUIM;2380
ID0111;2015-01-02 15:10:05;Becky;Cotacao;S;S;00:00:32.465;BOM;
ID0112;2015-01-02 15:10:05;Diane;Cotacao;S;S;00:02:47.481;BOM;28
ID0113;2015-01-02 15:36:00;Martha;RegistroSinistro;S;S;00:06:52.237;RUIM;740
ID0114;2015-01-02 15:36:00;Stewart;Cotacao;N;N;00:05:50.028;;
ID0115;2015-01-02 17:36:58;Jim;Cotacao;S;S;00:06:20.349;BOM;37
ID0116;2015-01-02 17:36:58;Greg;Sugestao;N;N;;;
ID0117;2015-01-02 17:47:02;Diane;RegistroSinistro;N;N;00:05:24.657;;
ID0118;2015-01-02 17:47:02;Martha;RegistroSinistro;S;S;00:04:39.151;BOM;
ID0119;2015-01-03 09:10:05;Dan;Sugestao;S;N;00:02:16.348;BOM;47,5
ID0120;2015-01-03 09:10:05;Dan;Informacao;N;N;00:04:08.687;;
ID0121;2015-01-03 09:47:31;Dan;Cotacao;S;S;00:05:42.688;BOM;43,8
ID0122;2015-01-03 09:47:31;Martha;Informacao;S;S;;BOM;
ID0123;2015-01-03 10:29:17;Joe;RegistroSinistro;S;S;00:00:53.472;RUIM;1780
ID0124;2015-01-03 10:29:17;Martha;Cotacao;S;S;00:05:57.028;BOM;51,5
ID0125;2015-01-03 10:37:55;Martha;Cotacao;N;N;;;
ID0126;2015-01-03 10:37:55;Diane;Sugestao;S;S;00:00:52.962;BOM;16,2
ID0127;2015-01-03 10:52:19;Martha;Reclamacao;S;S;00:01:13.208;BOM;
ID0128;2015-01-03 10:52:19;Becky;Reclamacao;S;S;00:02:28.453;BOM;
ID0129;2015-01-03 10:52:19;Jim;Informacao;S;S;00:01:42.224;BOM;
ID0130;2015-01-03 10:52:19;Jim;Reclamacao;S;S;;RUIM;
ID0131;2015-01-03 10:58:05;Becky;Reclamacao;S;N;00:05:23.018;BOM;48
ID0132;2015-01-03 10:58:05;Diane;Sugestao;S;S;00:05:03.422;BOM;56,4
ID0133;2015-01-03 11:02:24;Dan;Reclamacao;S;S;;RUIM;
ID0134;2015-01-03 11:02:24;Jim;Cotacao;N;N;00:03:59.515;;
ID0135;2015-01-03 11:03:50;Dan;Sugestao;S;S;00:00:49.297;RUIM;1280
ID0136;2015-01-03 11:03:50;Greg;Cotacao;S;N;00:04:01.321;BOM;
ID0137;2015-01-03 11:06:43;Stewart;Informacao;S;N;00:01:30.764;BOM;36
ID0138;2015-01-03 11:06:43;Martha;Informacao;N;N;00:02:33.722;;
ID0139;2015-01-03 11:16:48;Becky;Cotacao;S;S;;BOM;
ID0140;2015-01-03 11:16:48;Joe;Sugestao;S;S;00:04:42.226;RUIM;1000
ID0141;2015-01-03 11:26:53;Greg;Cotacao;S;S;00:04:15.941;BOM;34,5
ID0142;2015-01-03 11:26:53;Jim;Informacao;S;S;00:05:20.001;BOM;44,4
ID0143;2015-01-03 11:38:24;Greg;RegistroSinistro;S;S;00:03:37.435;RUIM;170
ID0144;2015-01-03 11:38:24;Diane;Cotacao;S;S;00:06:33.897;BOM;61
ID0145;2015-01-03 11:52:48;Jim;Informacao;S;S;00:04:45.172;BOM;53,5
ID0146;2015-01-03 11:52:48;Joe;Informacao;N;N;00:02:09.403;;
ID0147;2015-01-03 11:55:41;Joe;Sugestao;S;S;;RUIM;
ID0148;2015-01-03 11:55:41;Jim;Sugestao;S;S;00:06:35.686;BOM;70,2
ID0149;2015-01-03 11:58:34;Stewart;Reclamacao;S;S;00:03:12.860;RUIM;700
ID0150;2015-01-03 11:58:34;Diane;Sugestao;S;S;00:04:11.767;RUIM;600
ID0151;2015-01-03 12:33:07;Joe;Cotacao;S;N;00:01:28.002;BOM;16,5
ID0152;2015-01-03 12:33:07;Stewart;Informacao;N;N;00:05:55.450;;
ID0153;2015-01-03 12:54:43;Martha;Sugestao;S;N;;BOM;
ID0154;2015-01-03 12:54:43;Joe;Reclamacao;S;S;00:02:50.896;BOM;9
ID0155;2015-01-03 13:12:00;Martha;Sugestao;S;S;00:04:23.295;BOM;
ID0156;2015-01-03 13:12:00;Dan;Reclamacao;S;S;00:01:16.630;RUIM;2140
ID0157;2015-01-03 13:14:53;Jim;Cotacao;N;N;00:05:08.400;;
ID0158;2015-01-03 13:14:53;Joe;Cotacao;S;S;;BOM;
ID0159;2015-01-03 13:27:50;Becky;Reclamacao;S;S;00:04:58.313;RUIM;300
ID0160;2015-01-03 13:27:50;Becky;RegistroSinistro;S;N;00:05:33.524;RUIM;2240
ID0161;2015-01-03 13:35:02;Greg;Reclamacao;S;S;;RUIM;
ID0162;2015-01-03 13:35:02;Greg;Sugestao;S;S;00:00:39.877;RUIM;330
ID0163;2015-01-03 13:58:05;Dan;Informacao;S;S;;RUIM;
ID0164;2015-01-03 13:58:05;Joe;RegistroSinistro;S;S;00:04:08.398;RUIM;170
ID0165;2015-01-03 13:58:05;Joe;RegistroSinistro;N;N;00:02:07.767;;
ID0166;2015-01-03 13:58:05;Stewart;Sugestao;N;N;00:06:49.356;;
ID0167;2015-01-03 14:03:50;Joe;Sugestao;S;N;00:05:39.606;RUIM;2360
ID0168;2015-01-03 14:03:50;Diane;RegistroSinistro;S;S;00:04:04.317;RUIM;240
ID0169;2015-01-03 14:47:02;Joe;RegistroSinistro;S;S;00:00:33.574;BOM;
ID0170;2015-01-03 14:47:02;Dan;RegistroSinistro;S;S;00:01:43.322;BOM;
ID0171;2015-01-03 15:34:34;Martha;RegistroSinistro;S;N;00:03:11.394;BOM;
ID0172;2015-01-03 15:34:34;Dan;Informacao;N;N;00:01:43.568;;
ID0173;2015-01-03 16:29:17;Diane;Cotacao;N;N;00:01:31.267;;
ID0174;2015-01-03 16:29:17;Joe;Sugestao;S;S;00:05:46.067;RUIM;1060
ID0175;2015-01-03 17:31:12;Stewart;Sugestao;S;N;00:03:10.372;RUIM;110
ID0176;2015-01-03 17:31:12;Martha;Cotacao;S;S;00:06:57.582;BOM;11
ID0177;2015-01-04 09:01:26;Martha;Informacao;N;N;;;
ID0178;2015-01-04 09:01:26;Diane;RegistroSinistro;S;S;00:01:51.892;BOM;45
ID0179;2015-01-04 09:31:41;Martha;Sugestao;S;S;;BOM;
ID0180;2015-01-04 09:31:41;Joe;RegistroSinistro;N;N;00:01:11.745;;
ID0181;2015-01-04 09:43:12;Dan;Informacao;S;S;00:01:33.396;BOM;
ID0182;2015-01-04 09:43:12;Greg;RegistroSinistro;N;N;00:00:36.220;;
ID0183;2015-01-04 10:03:22;Martha;Cotacao;S;S;;BOM;
ID0184;2015-01-04 10:03:22;Stewart;Cotacao;S;S;00:01:22.414;BOM;
ID0185;2015-01-04 10:27:50;Jim;RegistroSinistro;S;S;;RUIM;
ID0186;2015-01-04 10:27:50;Diane;Cotacao;N;N;00:06:40.781;;
ID0187;2015-01-04 11:09:36;Becky;RegistroSinistro;S;N;00:02:12.813;BOM;
ID0188;2015-01-04 11:09:36;Diane;Reclamacao;S;N;00:05:49.304;RUIM;170
ID0189;2015-01-04 11:13:55;Jim;Reclamacao;S;S;00:03:50.597;RUIM;790
ID0190;2015-01-04 11:13:55;Martha;Sugestao;S;S;00:04:59.062;RUIM;520
ID0191;2015-01-04 11:18:14;Becky;Informacao;S;S;00:01:22.572;BOM;11
ID0192;2015-01-04 11:18:14;Martha;Cotacao;N;N;00:02:29.018;;
ID0193;2015-01-04 11:22:34;Dan;Sugestao;S;S;00:03:41.405;RUIM;830
ID0194;2015-01-04 11:22:34;Joe;RegistroSinistro;N;N;00:02:09.364;;
ID0195;2015-01-04 11:32:38;Joe;Informacao;S;S;00:03:25.566;BOM;
ID0196;2015-01-04 11:32:38;Martha;RegistroSinistro;S;S;00:03:28.965;BOM;
ID0197;2015-01-04 12:02:53;Dan;Cotacao;S;S;;BOM;
ID0198;2015-01-04 12:02:53;Martha;Reclamacao;S;S;;BOM;
ID0199;2015-01-04 12:15:50;Jim;RegistroSinistro;N;N;00:04:54.448;;
ID0200;2015-01-04 12:15:50;Joe;Cotacao;S;S;;BOM;
ID0201;2015-01-04 12:15:50;Becky;Cotacao;S;N;00:01:48.651;BOM;
ID0202;2015-01-04 12:15:50;Joe;Reclamacao;S;S;00:03:28.820;BOM;45,6
ID0203;2015-01-04 13:32:10;Greg;Reclamacao;S;S;;RUIM;
ID0204;2015-01-04 13:32:10;Diane;Reclamacao;S;S;00:05:51.060;BOM;71,4
ID0205;2015-01-04 13:45:07;Stewart;RegistroSinistro;S;S;00:06:35.659;RUIM;1080
ID0206;2015-01-04 13:45:07;Jim;Cotacao;S;S;00:06:15.144;BOM;15
ID0207;2015-01-04 13:56:38;Jim;Reclamacao;S;S;00:04:42.742;BOM;69
ID0208;2015-01-04 13:56:38;Dan;Reclamacao;S;S;00:06:20.434;BOM;34,8
ID0209;2015-01-04 14:25:26;Greg;Cotacao;S;S;;BOM;
ID0210;2015-01-04 14:25:26;Martha;RegistroSinistro;S;S;;RUIM;
ID0211;2015-01-04 14:28:19;Jim;Cotacao;N;N;00:06:20.811;;
ID0212;2015-01-04 14:28:19;Joe;Sugestao;S;S;00:00:38.917;BOM;27
ID0213;2015-01-04 14:31:12;Joe;Sugestao;S;S;00:01:39.747;BOM;15,5
ID0214;2015-01-04 14:31:12;Martha;Cotacao;S;S;00:06:18.165;RUIM;940
ID0215;2015-01-04 14:49:55;Jim;Informacao;S;S;00:01:11.526;BOM;
ID0216;2015-01-04 14:49:55;Becky;Cotacao;N;N;00:03:14.433;;
ID0217;2015-01-04 15:23:02;Greg;RegistroSinistro;S;S;00:04:49.687;BOM;
ID0218;2015-01-04 15:23:02;Stewart;Reclamacao;S;S;00:01:50.265;RUIM;1080
ID0219;2015-01-04 15:48:58;Stewart;Reclamacao;S;S;00:06:31.988;BOM;36
ID0220;2015-01-04 15:48:58;Diane;Sugestao;S;S;00:02:46.558;RUIM;1600
ID0221;2015-01-04 16:48:00;Martha;Sugestao;S;S;;BOM;
ID0222;2015-01-04 16:48:00;Jim;RegistroSinistro;N;N;00:05:12.561;;
ID0223;2015-01-04 16:49:26;Martha;Informacao;S;S;00:00:39.538;RUIM;260
ID0224;2015-01-04 16:49:26;Stewart;Sugestao;S;S;00:00:42.006;BOM;10,2
ID0225;2015-01-04 16:49:26;Martha;Cotacao;S;S;00:03:35.592;BOM;32,4
ID0226;2015-01-04 16:49:26;Joe;RegistroSinistro;S;S;00:03:18.435;BOM;25,8
ID0227;2015-01-04 17:35:31;Stewart;Reclamacao;S;S;;RUIM;
ID0228;2015-01-04 17:35:31;Jim;Cotacao;S;S;00:04:07.308;BOM;
ID0229;2015-01-04 17:39:50;Martha;Reclamacao;S;N;;RUIM;
ID0230;2015-01-04 17:39:50;Becky;Reclamacao;S;S;00:05:30.847;RUIM;120
ID0231;2015-01-05 09:08:38;Joe;RegistroSinistro;S;S;00:01:46.188;RUIM;340
ID0232;2015-01-05 09:08:38;Joe;RegistroSinistro;S;S;00:00:54.194;RUIM;2120
ID0233;2015-01-05 09:25:55;Stewart;Informacao;S;N;00:03:45.296;BOM;13
ID0234;2015-01-05 09:25:55;Greg;Sugestao;S;S;00:01:45.657;BOM;15
ID0235;2015-01-05 09:33:07;Joe;Cotacao;S;N;00:02:00.900;RUIM;2200
ID0236;2015-01-05 09:33:07;Stewart;RegistroSinistro;N;N;;;
ID0237;2015-01-05 10:00:29;Becky;Cotacao;S;S;00:05:44.709;RUIM;1260
ID0238;2015-01-05 10:00:29;Dan;Informacao;S;S;;BOM;
ID0239;2015-01-05 10:49:26;Greg;Informacao;S;S;00:04:18.412;BOM;
ID0240;2015-01-05 10:49:26;Joe;RegistroSinistro;S;S;00:02:31.127;BOM;
ID0241;2015-01-05 11:31:12;Joe;RegistroSinistro;N;N;00:02:22.454;;
ID0242;2015-01-05 11:31:12;Greg;Sugestao;S;S;00:04:13.990;RUIM;2180
ID0243;2015-01-05 11:41:17;Greg;Informacao;S;S;00:04:52.945;BOM;62,5
ID0244;2015-01-05 11:41:17;Dan;Reclamacao;S;S;00:01:34.276;BOM;52,2
ID0245;2015-01-05 11:49:55;Martha;Sugestao;S;S;00:02:52.384;BOM;30
ID0246;2015-01-05 11:49:55;Dan;RegistroSinistro;N;N;;;
ID0247;2015-01-05 11:49:55;Becky;Reclamacao;S;S;;BOM;
ID0248;2015-01-05 11:49:55;Greg;Informacao;S;S;;RUIM;
ID0249;2015-01-05 12:00:00;Becky;RegistroSinistro;S;S;;BOM;
ID0250;2015-01-05 12:00:00;Martha;Reclamacao;S;S;00:01:49.604;BOM;
ID0251;2015-01-05 12:12:58;Diane;Sugestao;S;S;00:03:55.279;BOM;46
ID0252;2015-01-05 12:12:58;Greg;RegistroSinistro;S;S;;BOM;
ID0253;2015-01-05 13:04:48;Joe;Sugestao;S;N;00:04:23.367;RUIM;1660
ID0254;2015-01-05 13:04:48;Joe;Reclamacao;S;S;00:05:20.257;RUIM;1520
ID0255;2015-01-05 13:59:31;Greg;Reclamacao;S;N;00:06:30.625;RUIM;210
ID0256;2015-01-05 13:59:31;Joe;Cotacao;S;S;00:06:07.212;BOM;12
ID0257;2015-01-05 14:42:43;Diane;Reclamacao;S;S;00:02:36.724;RUIM;540
ID0258;2015-01-05 14:42:43;Jim;RegistroSinistro;S;N;00:01:23.628;RUIM;490
ID0259;2015-01-05 15:18:43;Dan;Cotacao;S;S;00:00:54.208;BOM;72
ID0260;2015-01-05 15:18:43;Becky;Reclamacao;S;S;00:03:26.654;RUIM;640
ID0261;2015-01-05 15:20:10;Diane;Informacao;S;S;00:04:13.891;BOM;21,6
ID0262;2015-01-05 15:20:10;Greg;Reclamacao;S;S;00:06:49.630;RUIM;1130
ID0263;2015-01-05 15:31:41;Greg;RegistroSinistro;S;S;00:02:10.384;BOM;
ID0264;2015-01-05 15:31:41;Diane;RegistroSinistro;S;S;00:00:45.507;RUIM;1190
ID0265;2015-01-05 15:31:41;Becky;Informacao;S;S;00:03:49.072;BOM;
ID0266;2015-01-05 15:31:41;Joe;Sugestao;S;S;;BOM;
ID0267;2015-01-05 15:37:26;Joe;RegistroSinistro;S;S;00:02:56.854;RUIM;1040
ID0268;2015-01-05 15:37:26;Dan;Sugestao;S;S;;RUIM;
ID0269;2015-01-05 15:44:38;Jim;Reclamacao;S;S;00:00:44.003;BOM;49,2
ID0270;2015-01-05 15:44:38;Martha;Sugestao;S;S;;BOM;
ID0271;2015-01-05 16:06:14;Dan;RegistroSinistro;S;S;00:06:03.272;RUIM;1110
ID0272;2015-01-05 16:06:14;Martha;Cotacao;S;S;00:06:41.826;BOM;
ID0273;2015-01-05 16:16:19;Martha;Reclamacao;S;N;;BOM;
ID0274;2015-01-05 16:16:19;Martha;Reclamacao;S;N;00:03:55.761;BOM;
ID0275;2015-01-05 16:27:50;Diane;Cotacao;S;S;00:04:42.106;BOM;61,8
ID0276;2015-01-05 16:27:50;Diane;Informacao;S;S;00:01:46.384;RUIM;770
ID0277;2015-01-05 17:25:26;Stewart;Cotacao;N;N;00:03:35.184;;
ID0278;2015-01-05 17:25:26;Greg;Sugestao;N;N;;;
ID0279;2015-01-05 17:29:46;Joe;Cotacao;N;N;;;
ID0280;2015-01-05 17:29:46;Dan;Informacao;S;S;00:02:06.263;BOM;74,4
ID0281;2015-01-05 17:38:24;Diane;Cotacao;S;S;00:02:14.523;BOM;
ID0282;2015-01-05 17:38:24;Joe;RegistroSinistro;S;S;00:06:33.719;BOM;61,2
ID0283;2015-01-05 17:44:10;Martha;RegistroSinistro;S;S;00:03:08.513;RUIM;880
ID0284;2015-01-05 17:44:10;Martha;Cotacao;N;N;;;
ID0285;2015-01-05 17:57:07;Martha;Cotacao;S;S;00:01:14.982;BOM;75
ID0286;2015-01-05 17:57:07;Diane;RegistroSinistro;S;S;;RUIM;
ID0287;2015-01-06 09:08:38;Greg;Cotacao;N;N;00:01:15.180;;
ID0288;2015-01-06 09:08:38;Stewart;Sugestao;S;S;00:03:56.364;BOM;17,5
ID0289;2015-01-06 10:06:14;Stewart;Cotacao;S;S;00:05:11.952;BOM;30
ID0290;2015-01-06 10:06:14;Stewart;Informacao;S;S;00:05:52.024;BOM;
ID0291;2015-01-06 10:07:41;Joe;Sugestao;N;N;00:02:31.935;;
ID0292;2015-01-06 10:07:41;Jim;Informacao;S;S;00:02:16.110;RUIM;1980
ID0293;2015-01-06 10:32:10;Stewart;Informacao;S;S;;BOM;
ID0294;2015-01-06 10:32:10;Jim;Cotacao;S;S;00:06:32.136;BOM;69,6
ID0295;2015-01-06 10:42:14;Stewart;RegistroSinistro;S;S;00:05:36.051;BOM;
ID0296;2015-01-06 10:42:14;Stewart;Reclamacao;S;S;;BOM;
ID0297;2015-01-06 11:12:29;Dan;Sugestao;S;S;00:01:44.990;BOM;
ID0298;2015-01-06 11:12:29;Becky;RegistroSinistro;N;N;00:01:19.364;;
ID0299;2015-01-06 11:29:46;Martha;Cotacao;S;S;00:02:51.721;BOM;36
ID0300;2015-01-06 11:29:46;Diane;Sugestao;S;S;00:05:32.807;BOM;35,4
ID0301;2015-01-06 11:38:24;Dan;Sugestao;N;N;00:06:44.847;;
ID0302;2015-01-06 11:38:24;Joe;Informacao;S;S;00:05:00.692;RUIM;870
ID0303;2015-01-06 11:45:36;Stewart;Sugestao;S;S;00:02:13.745;BOM;
ID0304;2015-01-06 11:45:36;Greg;Cotacao;N;N;00:02:51.848;;
ID0305;2015-01-06 12:05:46;Joe;Reclamacao;S;N;00:06:58.896;RUIM;1180
ID0306;2015-01-06 12:05:46;Dan;Reclamacao;S;N;;RUIM;
ID0307;2015-01-06 12:07:12;Becky;RegistroSinistro;S;N;;BOM;
ID0308;2015-01-06 12:07:12;Jim;Reclamacao;S;S;;BOM;
ID0309;2015-01-06 13:30:43;Greg;RegistroSinistro;S;S;00:05:11.413;RUIM;640
ID0310;2015-01-06 13:30:43;Diane;Reclamacao;N;N;00:03:22.775;;
