"CLI_ID","COMPRAS","COMPRA_UNICA_VEZ","COMPRAS_PARCELADAS","FREQUENCIA_COMPRAS","FREQUENCIA_COMPRAS_UNICAS","FREQUENCIA_COMPRAS_PARCELADAS","TRANS_COMPRA","LIMITE_CREDITO"
10310,1641.07,1641.07,0,0.666667,0.666667,0,15,500
10311,674.73,674.73,0,0.25,0.25,0,12,4000
10312,2702.47,1526.31,1176.16,1,0.25,1,27,11000
10313,0,0,0,0,0,0,0,8000
10314,1579.15,1462.35,116.8,0.583333,0.5,0.25,15,2700
10315,0,0,0,0,0,0,0,11000
10316,2161.38,451.5,1709.88,1,0.166667,1,41,4500
10317,1482.19,446.07,1036.12,1,0.583333,0.666667,26,6000
10318,1446.05,544.45,901.6,1,0.083333,1,16,3500
10319,0,0,0,0,0,0,0,4500
10320,397.06,303.7,93.36,0.666667,0.166667,0.583333,12,2100
10321,498.17,459.02,39.15,0.916667,0.916667,0.083333,14,15000
10322,2009.12,1296.68,712.44,1,1,1,36,2500
10323,5359.02,2399.78,2959.24,1,1,1,60,6000
10324,0,0,0,0,0,0,0,1000
10325,0,0,0,0,0,0,0,5500
10326,0,0,0,0,0,0,0,1000
10327,0,0,0,0,0,0,0,7000
10328,126.2,126.2,0,0.833333,0.833333,0,10,1950
10329,225,0,225,1,0,1,12,1500
10330,734.97,159,575.97,0.833333,0.083333,0.75,16,6000
10331,14.95,0,14.95,0.083333,0,0.083333,1,5700
10332,874.98,350,524.98,0.75,0.083333,0.666667,16,12500
10333,0,0,0,0,0,0,0,7500
10334,445.2,445.2,0,0.166667,0.166667,0,4,8000
10335,0,0,0,0,0,0,0,4500
10336,689.34,0,689.34,1,0,1,24,1500
10337,2006.87,420.6,1586.27,0.666667,0.083333,0.666667,26,21000
10338,678,678,0,1,1,0,12,2500
10339,0.05,0.05,0,0.083333,0.083333,0,1,1000
10340,3085.69,3032.97,52.72,1,1,0.083333,21,8500
10341,0,0,0,0,0,0,0,3000
10342,1080,1080,0,0.75,0.75,0,12,6000
10343,2721.16,2417.41,303.75,1,0.5,1,32,6500
10344,3095.96,1383.56,1712.4,1,0.916667,0.833333,32,14000
10345,0,0,0,0,0,0,0,2300
10346,71.07,0,71.07,0.25,0,0.166667,3,9500
10347,65,0,65,0.166667,0,0.166667,2,1200
10348,4786.61,4397.64,388.97,0.916667,0.833333,0.5,61,9000
10349,174.42,0,174.42,0.333333,0,0.25,5,2500
10350,242.88,0,242.88,1,0,1,12,13500
10351,216.94,216.94,0,0.166667,0.166667,0,3,3200
10352,2246.3,2246.3,0,0.333333,0.333333,0,8,6000
10353,361.73,361.73,0,0.166667,0.166667,0,2,1500
10354,330,330,0,0.1,0.1,0,1,1800
10355,2854.11,1797.96,1056.15,1,0.833333,0.916667,51,9500
10356,390,90,300,0.5,0.083333,0.5,7,2000
10357,422.18,422.18,0,1,1,0,12,5500
10358,1005.52,464.5,541.02,1,0.5,0.833333,33,3000
10359,2132.93,959.1,1173.83,1,0.333333,1,74,11000
10360,284.72,0,284.72,0.666667,0,0.666667,16,5000
10361,0,0,0,0,0,0,0,10500
10362,3244.16,2480.85,763.31,1,0.666667,0.5,29,11500
10364,2490.17,905.17,1585,0.5,0.166667,0.416667,8,9500
10365,1098.31,1098.31,0,0.083333,0.083333,0,1,4800
10366,636.15,636.15,0,0.166667,0.166667,0,5,8500
10367,3018.93,1702.62,1316.31,1,1,1,99,5000
10368,1222.97,202.97,1020,1,0.25,1,16,19500
10369,110.18,0,110.18,0.333333,0,0.333333,4,6000
10370,0,0,0,0,0,0,0,3000
10371,0,0,0,0,0,0,0,1800
10372,983.77,603.77,380,0.666667,0.416667,0.25,15,2400
10373,0,0,0,0,0,0,0,1500
10374,423.24,287,136.24,0.625,0.375,0.375,9,11000
10375,6079.5,4719.5,1360,0.916667,0.25,0.666667,31,7300
10376,439.38,439.38,0,0.083333,0.083333,0,2,1200
10377,1207.25,0,1207.25,1,0,1,59,1200
10378,259.13,259.13,0,0.083333,0.083333,0,1,2300
10379,1627.69,0,1627.69,1,0,1,49,5500
10380,0,0,0,0,0,0,0,8000
10381,0,0,0,0,0,0,0,8000
10382,5749.96,5439.96,310,1,1,0.25,50,12000
10383,1490.94,0.02,1490.92,1,0.166667,1,25,9000
10384,0,0,0,0,0,0,0,3000
10385,5068.88,3529.88,1539,1,1,1,76,4500
10386,1067.28,0,1067.28,1,0,1,30,2000
10387,64.12,64.12,0,0.166667,0.166667,0,2,7000
10388,6855.59,2762.92,4092.67,0.916667,0.75,0.833333,39,18500
10389,1631,0,1631,0.583333,0,0.583333,7,2500
10390,180.91,180.91,0,0.166667,0.166667,0,6,1400
10391,0,0,0,0,0,0,0,1600
10392,136.88,0,136.88,0.166667,0,0.166667,2,14000
10393,0,0,0,0,0,0,0,2000
10395,343.21,343.21,0,0.25,0.25,0,4,1500
10396,16.5,16.5,0,0.083333,0.083333,0,1,6000
10397,5708.18,4584.78,1123.4,1,0.75,0.75,47,4000
10398,42.3,42.3,0,0.1,0.1,0,1,6000
10399,46.67,46.67,0,0.083333,0.083333,0,1,1800
10400,0,0,0,0,0,0,0,9000
10402,699.12,0,699.12,1,0,1,24,2500
10403,245.39,0,245.39,0.583333,0,0.5,7,4000
10404,98,98,0,0.166667,0.166667,0,2,4000
10405,857.36,857.36,0,1,1,0,13,6550
10406,2747.12,1247.12,1500,0.25,0.083333,0.166667,4,5000
10407,11147.33,1137.4,10009.93,1,0.25,1,126,11000
10408,600,0,600,0.5,0,0.416667,6,1000
10409,0,0,0,0,0,0,0,10000
10410,255.12,5,250.12,0.666667,0.25,0.5,11,8500
10411,1221.53,1180,41.53,0.333333,0.166667,0.166667,2,1200
10412,0,0,0,0,0,0,0,13000
10413,780.64,199.65,580.99,1,0.166667,0.833333,22,3500
10414,1532.1,223,1309.1,0.75,0.166667,0.666667,14,5000
10415,778.33,0,778.33,0.916667,0,0.916667,28,2000
10416,964.06,260,704.06,0.875,0.125,0.75,8,6000
10417,1667.13,1063.14,603.99,1,0.916667,0.833333,38,13000
10419,0,0,0,0,0,0,0,8000
10420,1088.83,518.39,570.44,0.416667,0.083333,0.333333,6,9000
10421,648.64,330,318.64,0.333333,0.083333,0.25,5,2500
10422,0,0,0,0,0,0,0,2100
10423,0,0,0,0,0,0,0,4500
10424,1897.92,97.92,1800,0.25,0.166667,0.166667,5,13500
10425,0,0,0,0,0,0,0,6200
10426,1263.29,279.99,983.3,1,1,0.583333,25,9500
10427,200,0,200,0.125,0,0.125,2,1200
10428,340,340,0,0.083333,0.083333,0,1,6000
10429,1277.58,0,1277.58,1,0,1,20,7000
10430,4117.24,290,3827.24,1,0.166667,1,229,6000
10431,226.23,226.23,0,0.166667,0.166667,0,5,15000
10432,3970.8,2267,1703.8,1,0.583333,0.916667,64,7500
10433,1346.9,1028,318.9,0.583333,0.083333,0.416667,14,8000
10434,1050.83,67.9,982.93,1,0.083333,1,24,5000
10435,1364.99,64.99,1300,0.5,0.083333,0.416667,7,2000
10436,0,0,0,0,0,0,0,1500
10437,0,0,0,0,0,0,0,4500
10438,7553.48,2643.53,4909.95,0.916667,0.75,1,85,13500
10439,570.16,0,570.16,0.833333,0,0.833333,20,9000
10441,566.28,431.01,135.27,0.5,0.333333,0.333333,17,4000
10442,0,0,0,0,0,0,0,8000
10443,0,0,0,0,0,0,0,1800
10444,137.34,137.34,0,0.083333,0.083333,0,1,10000
10445,0,0,0,0,0,0,0,10000
10446,0,0,0,0,0,0,0,9000
10447,332.82,0,332.82,1,0,1,25,5000
10448,1377.72,1377.72,0,0.25,0.25,0,5,2500
10449,0,0,0,0,0,0,0,6000
10450,0,0,0,0,0,0,0,1500
10451,360.7,360.7,0,0.083333,0.083333,0,2,8000
10452,222.64,0,222.64,0.916667,0,0.833333,11,4500
10453,1634.74,1376,258.74,1,0.333333,1,38,13000
10454,0,0,0,0,0,0,0,1200
10455,759.15,759.15,0,1,1,0,12,6000
10456,243.36,243.36,0,0.083333,0.083333,0,2,1800
10457,0,0,0,0,0,0,0,10500
10458,0,0,0,0,0,0,0,2500
10459,519,0,519,0.818182,0,0.636364,9,4500
10460,3055.87,3055.87,0,0.75,0.75,0,26,4500
10461,2470.4,457.73,2012.67,0.5,0.083333,0.5,19,9500
10462,1671.6,480,1191.6,1,0.333333,1,48,1800
10463,903.36,903.36,0,0.25,0.25,0,6,15000
10466,0,0,0,0,0,0,0,1200
10467,229.5,54,175.5,0.5,0.083333,0.416667,7,3150
10468,1476.19,1476.19,0,1,1,0,23,2500
10469,2506.89,2506.89,0,0.75,0.75,0,30,8500
10470,2570,492.46,2077.54,0.75,0.166667,0.666667,40,4500
10471,238.34,0,238.34,0.833333,0,0.833333,5,15000
10472,1342.36,1037.96,304.4,0.875,0.875,0.5,27,4000
10473,786.32,186.32,600,0.636364,0.090909,0.545455,7,7500
10474,1450.68,0,1450.68,1,0,1,20,6000
10475,1239.46,752.28,487.18,0.666667,0.416667,0.416667,14,1500
10476,96.75,34.65,62.1,0.333333,0.083333,0.25,7,1800
10477,4106.15,2688.46,1417.69,0.333333,0.25,0.416667,50,12000
10478,2022.38,1892.38,130,0.916667,0.916667,0.333333,19,6000
10480,3654.08,291.41,3362.67,1,0.166667,1,32,2500
10481,883.73,457.62,426.11,0.833333,0.333333,0.75,26,3000
10482,795.54,167.4,628.14,1,0.166667,1,20,1700
10483,0,0,0,0,0,0,0,1200
10484,0,0,0,0,0,0,0,7500
10485,1382.57,1077.75,304.82,1,0.666667,0.833333,33,2400
10486,565.5,0,565.5,1,0,1,14,8500
10487,4462.86,2816.46,1646.4,1,0.833333,0.916667,103,11800
10488,1726.67,1726.67,0,0.166667,0.166667,0,4,6000
10489,217,217,0,0.166667,0.166667,0,2,9000
10490,0,0,0,0,0,0,0,4000
10491,1748.73,518.44,1230.29,1,0.416667,1,31,6500
10492,0,0,0,0,0,0,0,1800
10493,50.98,0,50.98,0.333333,0,0.333333,4,1200
10494,378.04,0,378.04,0.166667,0,0.166667,4,11300
10495,1483.12,1085.19,397.93,0.833333,0.25,0.583333,30,5000
10497,6407.67,3725.33,2682.34,1,0.666667,1,44,14500
10498,0,0,0,0,0,0,0,3500
10501,70,70,0,0.083333,0.083333,0,1,8500
10502,449.96,0,449.96,0.5,0,0.5,8,7000
10503,3355.33,2305.33,1050,0.916667,0.583333,0.833333,27,6500
10504,0,0,0,0,0,0,0,10000
10505,0,0,0,0,0,0,0,3000
10506,3220.09,2941.39,278.7,1,1,0.416667,24,15000
10507,6558.55,6558.55,0,1,1,0,74,7000
10508,0,0,0,0,0,0,0,4000
10509,4305.05,2905.71,1399.34,1,0.916667,0.916667,38,9500
