id_chamada;data;agente;tipo_solicitacao;atendido;resolvido;duracao_conversa;tempo_espera;indice_satisfacao
ID0032;01/01/2015 13:24;Joe;RegistroSinistro;S;S;57;1880.00;RUIM
ID0033;01/01/2015 13:33;Diane;Cotacao;S;S;377;;BOM
ID0034;01/01/2015 13:33;Jim;Sugestao;S;N;317;120.00;RUIM
ID0035;01/01/2015 13:42;Becky;RegistroSinistro;S;S;;;BOM
ID0036;01/01/2015 13:42;Diane;RegistroSinistro;N;N;398;;
ID0037;01/01/2015 13:42;Martha;Cotacao;S;N;108;1240.00;RUIM
ID0038;01/01/2015 13:42;Joe;Cotacao;S;N;187;1440.00;RUIM
ID0039;01/01/2015 14:38;Stewart;Informacao;S;S;53;1260.00;RUIM
ID0040;01/01/2015 14:38;Greg;Cotacao;S;S;372;;BOM
ID0041;01/01/2015 14:47;Jim;Cotacao;S;S;407;13.00;BOM
ID0042;01/01/2015 14:47;Greg;Informacao;S;S;210;15.50;BOM
ID0043;01/01/2015 14:47;Diane;Cotacao;S;S;;;BOM
ID0044;01/01/2015 14:47;Becky;Sugestao;S;S;413;20.50;BOM
ID0045;01/01/2015 15:44;Diane;Reclamacao;S;S;194;31.20;BOM
ID0046;01/01/2015 15:44;Jim;Informacao;N;N;63;;
ID0047;01/01/2015 17:13;Dan;Reclamacao;S;S;;;RUIM
ID0048;01/01/2015 17:13;Martha;Informacao;N;N;;;
ID0049;01/01/2015 17:25;Joe;Cotacao;S;S;;;BOM
ID0050;01/01/2015 17:25;Dan;Cotacao;N;N;;;
ID0051;01/01/2015 17:35;Martha;Informacao;N;N;31;;
ID0052;01/01/2015 17:35;Jim;Reclamacao;N;N;213;;
ID0053;01/01/2015 17:36;Stewart;Sugestao;S;S;35;6.00;BOM
ID0054;01/01/2015 17:36;Dan;Sugestao;S;S;46;39.50;BOM
ID0055;01/01/2015 17:44;Becky;RegistroSinistro;S;S;114;130.00;RUIM
ID0056;01/01/2015 17:44;Dan;RegistroSinistro;S;S;48;;BOM
ID0057;01/01/2015 17:57;Jim;Cotacao;S;S;43;960.00;RUIM
ID0058;01/01/2015 17:57;Stewart;Reclamacao;S;S;362;42.60;BOM
ID0059;02/01/2015 09:05;Dan;Cotacao;S;S;113;24.00;BOM
ID0060;02/01/2015 09:05;Dan;Informacao;S;S;143;;BOM
ID0061;02/01/2015 09:18;Diane;RegistroSinistro;S;S;127;1180.00;RUIM
ID0062;02/01/2015 09:18;Joe;Cotacao;N;N;343;;
ID0063;02/01/2015 09:20;Dan;RegistroSinistro;S;S;324;820.00;RUIM
ID0064;02/01/2015 09:20;Stewart;RegistroSinistro;S;S;283;850.00;RUIM
ID0065;02/01/2015 09:38;Jim;Informacao;S;S;417;200.00;RUIM
ID0066;02/01/2015 09:38;Diane;Cotacao;S;N;91;34.80;BOM
ID0067;02/01/2015 10:04;Jim;Informacao;S;S;263;7.00;BOM
ID0068;02/01/2015 10:04;Jim;Informacao;S;S;107;26.50;BOM
ID0069;02/01/2015 10:33;Diane;Informacao;S;S;178;42.00;BOM
ID0070;02/01/2015 10:33;Diane;Reclamacao;N;N;227;;
ID0071;02/01/2015 11:08;Joe;Cotacao;S;S;251;1440.00;RUIM
ID0072;02/01/2015 11:08;Stewart;Reclamacao;S;S;362;39.60;BOM
ID0073;02/01/2015 11:26;Greg;Sugestao;S;N;;;BOM
ID0074;02/01/2015 11:26;Becky;Informacao;S;S;;;RUIM
ID0075;02/01/2015 11:42;Stewart;Cotacao;S;N;81;;BOM
ID0076;02/01/2015 11:42;Diane;Reclamacao;N;N;326;;
ID0077;02/01/2015 11:47;Martha;Cotacao;S;S;;;RUIM
ID0078;02/01/2015 11:47;Dan;Informacao;S;S;169;620.00;RUIM
ID0079;02/01/2015 11:54;Becky;Informacao;S;S;346;;BOM
ID0080;02/01/2015 11:54;Dan;Reclamacao;S;S;264;32.40;BOM
ID0081;02/01/2015 12:00;Diane;Reclamacao;S;S;;;BOM
ID0082;02/01/2015 12:00;Greg;Sugestao;S;S;326;42.60;BOM
ID0083;02/01/2015 12:20;Stewart;Reclamacao;S;S;374;720.00;RUIM
ID0084;02/01/2015 12:20;Dan;Informacao;S;S;129;9.60;BOM
ID0085;02/01/2015 12:41;Becky;Cotacao;S;S;;;BOM
ID0086;02/01/2015 12:41;Martha;Cotacao;S;S;297;;BOM
ID0087;02/01/2015 12:44;Jim;Sugestao;N;N;332;;
ID0088;02/01/2015 12:44;Martha;Reclamacao;S;N;120;;BOM
ID0089;02/01/2015 12:59;Joe;Cotacao;S;N;171;56.00;BOM
ID0090;02/01/2015 12:59;Dan;RegistroSinistro;N;N;;;
ID0091;02/01/2015 13:03;Jim;Informacao;S;S;207;1320.00;RUIM
ID0092;02/01/2015 13:03;Stewart;Cotacao;S;S;290;;BOM
ID0093;02/01/2015 13:04;Jim;Cotacao;S;S;46;;BOM
ID0094;02/01/2015 13:04;Becky;Cotacao;S;S;193;;BOM
ID0095;02/01/2015 13:13;Diane;RegistroSinistro;S;S;;;RUIM
ID0096;02/01/2015 13:13;Stewart;Sugestao;S;S;251;540.00;RUIM
ID0097;02/01/2015 13:20;Greg;Informacao;S;S;;;BOM
ID0098;02/01/2015 13:20;Martha;RegistroSinistro;N;N;;;
ID0099;02/01/2015 13:20;Dan;Informacao;S;S;378;;BOM
ID0100;02/01/2015 13:20;Diane;Cotacao;S;S;;;RUIM
ID0101;02/01/2015 13:45;Becky;Cotacao;N;N;242;;
ID0102;02/01/2015 13:45;Martha;Cotacao;S;N;;;RUIM
ID0103;02/01/2015 13:49;Diane;Sugestao;S;S;52;400.00;RUIM
ID0104;02/01/2015 13:49;Martha;Informacao;S;S;;;RUIM
ID0105;02/01/2015 13:53;Becky;Cotacao;S;S;;;BOM
ID0106;02/01/2015 13:53;Becky;Sugestao;S;S;86;;BOM
ID0107;02/01/2015 14:22;Joe;RegistroSinistro;N;N;147;;
ID0108;02/01/2015 14:22;Becky;Informacao;S;N;;;RUIM
ID0109;02/01/2015 14:52;Stewart;Reclamacao;N;N;322;;
ID0110;02/01/2015 14:52;Joe;RegistroSinistro;S;S;35;2380.00;RUIM
ID0111;02/01/2015 15:10;Becky;Cotacao;S;S;32;;BOM
ID0112;02/01/2015 15:10;Diane;Cotacao;S;S;167;28.00;BOM
ID0113;02/01/2015 15:36;Martha;RegistroSinistro;S;S;412;740.00;RUIM
ID0114;02/01/2015 15:36;Stewart;Cotacao;N;N;350;;
ID0115;02/01/2015 17:36;Jim;Cotacao;S;S;380;37.00;BOM
ID0116;02/01/2015 17:36;Greg;Sugestao;N;N;;;
ID0117;02/01/2015 17:47;Diane;RegistroSinistro;N;N;324;;
ID0118;02/01/2015 17:47;Martha;RegistroSinistro;S;S;279;;BOM
ID0119;03/01/2015 09:10;Dan;Sugestao;S;N;136;47.50;BOM
ID0120;03/01/2015 09:10;Dan;Informacao;N;N;248;;
ID0121;03/01/2015 09:47;Dan;Cotacao;S;S;342;43.80;BOM
ID0122;03/01/2015 09:47;Martha;Informacao;S;S;;;BOM
ID0123;03/01/2015 10:29;Joe;RegistroSinistro;S;S;53;1780.00;RUIM
ID0124;03/01/2015 10:29;Martha;Cotacao;S;S;357;51.50;BOM
ID0125;03/01/2015 10:37;Martha;Cotacao;N;N;;;
ID0126;03/01/2015 10:37;Diane;Sugestao;S;S;52;16.20;BOM
ID0127;03/01/2015 10:52;Martha;Reclamacao;S;S;73;;BOM
ID0128;03/01/2015 10:52;Becky;Reclamacao;S;S;148;;BOM
ID0129;03/01/2015 10:52;Jim;Informacao;S;S;102;;BOM
ID0130;03/01/2015 10:52;Jim;Reclamacao;S;S;;;RUIM
ID0131;03/01/2015 10:58;Becky;Reclamacao;S;N;323;48.00;BOM
ID0132;03/01/2015 10:58;Diane;Sugestao;S;S;303;56.40;BOM
ID0133;03/01/2015 11:02;Dan;Reclamacao;S;S;;;RUIM
ID0134;03/01/2015 11:02;Jim;Cotacao;N;N;239;;
ID0135;03/01/2015 11:03;Dan;Sugestao;S;S;49;1280.00;RUIM
ID0136;03/01/2015 11:03;Greg;Cotacao;S;N;241;;BOM
ID0137;03/01/2015 11:06;Stewart;Informacao;S;N;90;36.00;BOM
ID0138;03/01/2015 11:06;Martha;Informacao;N;N;153;;
ID0139;03/01/2015 11:16;Becky;Cotacao;S;S;;;BOM
ID0140;03/01/2015 11:16;Joe;Sugestao;S;S;282;1000.00;RUIM
ID0141;03/01/2015 11:26;Greg;Cotacao;S;S;255;34.50;BOM
ID0142;03/01/2015 11:26;Jim;Informacao;S;S;320;44.40;BOM
ID0143;03/01/2015 11:38;Greg;RegistroSinistro;S;S;217;170.00;RUIM
ID0144;03/01/2015 11:38;Diane;Cotacao;S;S;393;61.00;BOM
ID0145;03/01/2015 11:52;Jim;Informacao;S;S;285;53.50;BOM
ID0146;03/01/2015 11:52;Joe;Informacao;N;N;129;;
ID0147;03/01/2015 11:55;Joe;Sugestao;S;S;;;RUIM
ID0148;03/01/2015 11:55;Jim;Sugestao;S;S;395;70.20;BOM
ID0149;03/01/2015 11:58;Stewart;Reclamacao;S;S;192;700.00;RUIM
ID0150;03/01/2015 11:58;Diane;Sugestao;S;S;251;600.00;RUIM
ID0151;03/01/2015 12:33;Joe;Cotacao;S;N;88;16.50;BOM
ID0152;03/01/2015 12:33;Stewart;Informacao;N;N;355;;
ID0153;03/01/2015 12:54;Martha;Sugestao;S;N;;;BOM
ID0154;03/01/2015 12:54;Joe;Reclamacao;S;S;170;9.00;BOM
ID0155;03/01/2015 13:12;Martha;Sugestao;S;S;263;;BOM
ID0156;03/01/2015 13:12;Dan;Reclamacao;S;S;76;2140.00;RUIM
ID0157;03/01/2015 13:14;Jim;Cotacao;N;N;308;;
ID0158;03/01/2015 13:14;Joe;Cotacao;S;S;;;BOM
ID0159;03/01/2015 13:27;Becky;Reclamacao;S;S;298;300.00;RUIM
ID0160;03/01/2015 13:27;Becky;RegistroSinistro;S;N;333;2240.00;RUIM
ID0161;03/01/2015 13:35;Greg;Reclamacao;S;S;;;RUIM
ID0162;03/01/2015 13:35;Greg;Sugestao;S;S;39;330.00;RUIM
ID0163;03/01/2015 13:58;Dan;Informacao;S;S;;;RUIM
ID0164;03/01/2015 13:58;Joe;RegistroSinistro;S;S;248;170.00;RUIM
ID0165;03/01/2015 13:58;Joe;RegistroSinistro;N;N;127;;
ID0166;03/01/2015 13:58;Stewart;Sugestao;N;N;409;;
ID0167;03/01/2015 14:03;Joe;Sugestao;S;N;339;2360.00;RUIM
ID0168;03/01/2015 14:03;Diane;RegistroSinistro;S;S;244;240.00;RUIM
ID0169;03/01/2015 14:47;Joe;RegistroSinistro;S;S;33;;BOM
ID0170;03/01/2015 14:47;Dan;RegistroSinistro;S;S;103;;BOM
ID0171;03/01/2015 15:34;Martha;RegistroSinistro;S;N;191;;BOM
ID0172;03/01/2015 15:34;Dan;Informacao;N;N;103;;
ID0173;03/01/2015 16:29;Diane;Cotacao;N;N;91;;
ID0174;03/01/2015 16:29;Joe;Sugestao;S;S;346;1060.00;RUIM
ID0175;03/01/2015 17:31;Stewart;Sugestao;S;N;190;110.00;RUIM
ID0176;03/01/2015 17:31;Martha;Cotacao;S;S;417;11.00;BOM
ID0177;04/01/2015 09:01;Martha;Informacao;N;N;;;
ID0178;04/01/2015 09:01;Diane;RegistroSinistro;S;S;111;45.00;BOM
ID0179;04/01/2015 09:31;Martha;Sugestao;S;S;;;BOM
ID0180;04/01/2015 09:31;Joe;RegistroSinistro;N;N;71;;
ID0181;04/01/2015 09:43;Dan;Informacao;S;S;93;;BOM
ID0182;04/01/2015 09:43;Greg;RegistroSinistro;N;N;36;;
ID0183;04/01/2015 10:03;Martha;Cotacao;S;S;;;BOM
ID0184;04/01/2015 10:03;Stewart;Cotacao;S;S;82;;BOM
ID0185;04/01/2015 10:27;Jim;RegistroSinistro;S;S;;;RUIM
ID0186;04/01/2015 10:27;Diane;Cotacao;N;N;400;;
ID0187;04/01/2015 11:09;Becky;RegistroSinistro;S;N;132;;BOM
ID0188;04/01/2015 11:09;Diane;Reclamacao;S;N;349;170.00;RUIM
ID0189;04/01/2015 11:13;Jim;Reclamacao;S;S;230;790.00;RUIM
ID0190;04/01/2015 11:13;Martha;Sugestao;S;S;299;520.00;RUIM
ID0191;04/01/2015 11:18;Becky;Informacao;S;S;82;11.00;BOM
ID0192;04/01/2015 11:18;Martha;Cotacao;N;N;149;;
ID0193;04/01/2015 11:22;Dan;Sugestao;S;S;221;830.00;RUIM
ID0194;04/01/2015 11:22;Joe;RegistroSinistro;N;N;129;;
ID0195;04/01/2015 11:32;Joe;Informacao;S;S;205;;BOM
ID0196;04/01/2015 11:32;Martha;RegistroSinistro;S;S;208;;BOM
ID0197;04/01/2015 12:02;Dan;Cotacao;S;S;;;BOM
ID0198;04/01/2015 12:02;Martha;Reclamacao;S;S;;;BOM
ID0199;04/01/2015 12:15;Jim;RegistroSinistro;N;N;294;;
ID0200;04/01/2015 12:15;Joe;Cotacao;S;S;;;BOM
ID0201;04/01/2015 12:15;Becky;Cotacao;S;N;108;;BOM
ID0202;04/01/2015 12:15;Joe;Reclamacao;S;S;208;45.60;BOM
ID0203;04/01/2015 13:32;Greg;Reclamacao;S;S;;;RUIM
ID0204;04/01/2015 13:32;Diane;Reclamacao;S;S;351;71.40;BOM
ID0205;04/01/2015 13:45;Stewart;RegistroSinistro;S;S;395;1080.00;RUIM
ID0206;04/01/2015 13:45;Jim;Cotacao;S;S;375;15.00;BOM
ID0207;04/01/2015 13:56;Jim;Reclamacao;S;S;282;69.00;BOM
ID0208;04/01/2015 13:56;Dan;Reclamacao;S;S;380;34.80;BOM
ID0209;04/01/2015 14:25;Greg;Cotacao;S;S;;;BOM
ID0210;04/01/2015 14:25;Martha;RegistroSinistro;S;S;;;RUIM
ID0211;04/01/2015 14:28;Jim;Cotacao;N;N;380;;
ID0212;04/01/2015 14:28;Joe;Sugestao;S;S;38;27.00;BOM
ID0213;04/01/2015 14:31;Joe;Sugestao;S;S;99;15.50;BOM
ID0214;04/01/2015 14:31;Martha;Cotacao;S;S;378;940.00;RUIM
ID0215;04/01/2015 14:49;Jim;Informacao;S;S;71;;BOM
ID0216;04/01/2015 14:49;Becky;Cotacao;N;N;194;;
ID0217;04/01/2015 15:23;Greg;RegistroSinistro;S;S;289;;BOM
ID0218;04/01/2015 15:23;Stewart;Reclamacao;S;S;110;1080.00;RUIM
ID0219;04/01/2015 15:48;Stewart;Reclamacao;S;S;391;36.00;BOM
ID0220;04/01/2015 15:48;Diane;Sugestao;S;S;166;1600.00;RUIM
ID0221;04/01/2015 16:48;Martha;Sugestao;S;S;;;BOM
ID0222;04/01/2015 16:48;Jim;RegistroSinistro;N;N;312;;
ID0223;04/01/2015 16:49;Martha;Informacao;S;S;39;260.00;RUIM
ID0224;04/01/2015 16:49;Stewart;Sugestao;S;S;42;10.20;BOM
ID0225;04/01/2015 16:49;Martha;Cotacao;S;S;215;32.40;BOM
ID0226;04/01/2015 16:49;Joe;RegistroSinistro;S;S;198;25.80;BOM
ID0227;04/01/2015 17:35;Stewart;Reclamacao;S;S;;;RUIM
ID0228;04/01/2015 17:35;Jim;Cotacao;S;S;247;;BOM
ID0229;04/01/2015 17:39;Martha;Reclamacao;S;N;;;RUIM
ID0230;04/01/2015 17:39;Becky;Reclamacao;S;S;330;120.00;RUIM
ID0231;05/01/2015 09:08;Joe;RegistroSinistro;S;S;106;340.00;RUIM
ID0232;05/01/2015 09:08;Joe;RegistroSinistro;S;S;54;2120.00;RUIM
ID0233;05/01/2015 09:25;Stewart;Informacao;S;N;225;13.00;BOM
ID0234;05/01/2015 09:25;Greg;Sugestao;S;S;105;15.00;BOM
ID0235;05/01/2015 09:33;Joe;Cotacao;S;N;120;2200.00;RUIM
ID0236;05/01/2015 09:33;Stewart;RegistroSinistro;N;N;;;
ID0237;05/01/2015 10:00;Becky;Cotacao;S;S;344;1260.00;RUIM
ID0238;05/01/2015 10:00;Dan;Informacao;S;S;;;BOM
ID0239;05/01/2015 10:49;Greg;Informacao;S;S;258;;BOM
ID0240;05/01/2015 10:49;Joe;RegistroSinistro;S;S;151;;BOM
ID0241;05/01/2015 11:31;Joe;RegistroSinistro;N;N;142;;
ID0242;05/01/2015 11:31;Greg;Sugestao;S;S;253;2180.00;RUIM
ID0243;05/01/2015 11:41;Greg;Informacao;S;S;292;62.50;BOM
ID0244;05/01/2015 11:41;Dan;Reclamacao;S;S;94;52.20;BOM
ID0245;05/01/2015 11:49;Martha;Sugestao;S;S;172;30.00;BOM
ID0246;05/01/2015 11:49;Dan;RegistroSinistro;N;N;;;
ID0247;05/01/2015 11:49;Becky;Reclamacao;S;S;;;BOM
ID0248;05/01/2015 11:49;Greg;Informacao;S;S;;;RUIM
ID0249;05/01/2015 12:00;Becky;RegistroSinistro;S;S;;;BOM
ID0250;05/01/2015 12:00;Martha;Reclamacao;S;S;109;;BOM
ID0251;05/01/2015 12:12;Diane;Sugestao;S;S;235;46.00;BOM
ID0252;05/01/2015 12:12;Greg;RegistroSinistro;S;S;;;BOM
ID0253;05/01/2015 13:04;Joe;Sugestao;S;N;263;1660.00;RUIM
ID0254;05/01/2015 13:04;Joe;Reclamacao;S;S;320;1520.00;RUIM
ID0255;05/01/2015 13:59;Greg;Reclamacao;S;N;390;210.00;RUIM
ID0256;05/01/2015 13:59;Joe;Cotacao;S;S;367;12.00;BOM
ID0257;05/01/2015 14:42;Diane;Reclamacao;S;S;156;540.00;RUIM
ID0258;05/01/2015 14:42;Jim;RegistroSinistro;S;N;83;490.00;RUIM
ID0259;05/01/2015 15:18;Dan;Cotacao;S;S;54;72.00;BOM
ID0260;05/01/2015 15:18;Becky;Reclamacao;S;S;206;640.00;RUIM
ID0261;05/01/2015 15:20;Diane;Informacao;S;S;253;21.60;BOM
ID0262;05/01/2015 15:20;Greg;Reclamacao;S;S;409;1130.00;RUIM
ID0263;05/01/2015 15:31;Greg;RegistroSinistro;S;S;130;;BOM
ID0264;05/01/2015 15:31;Diane;RegistroSinistro;S;S;45;1190.00;RUIM
ID0265;05/01/2015 15:31;Becky;Informacao;S;S;229;;BOM
ID0266;05/01/2015 15:31;Joe;Sugestao;S;S;;;BOM
ID0267;05/01/2015 15:37;Joe;RegistroSinistro;S;S;176;1040.00;RUIM
ID0268;05/01/2015 15:37;Dan;Sugestao;S;S;;;RUIM
ID0269;05/01/2015 15:44;Jim;Reclamacao;S;S;44;49.20;BOM
ID0270;05/01/2015 15:44;Martha;Sugestao;S;S;;;BOM
ID0271;05/01/2015 16:06;Dan;RegistroSinistro;S;S;363;1110.00;RUIM
ID0272;05/01/2015 16:06;Martha;Cotacao;S;S;401;;BOM
ID0273;05/01/2015 16:16;Martha;Reclamacao;S;N;;;BOM
ID0274;05/01/2015 16:16;Martha;Reclamacao;S;N;235;;BOM
ID0275;05/01/2015 16:27;Diane;Cotacao;S;S;282;61.80;BOM
ID0276;05/01/2015 16:27;Diane;Informacao;S;S;106;770.00;RUIM
ID0277;05/01/2015 17:25;Stewart;Cotacao;N;N;215;;
ID0278;05/01/2015 17:25;Greg;Sugestao;N;N;;;
ID0279;05/01/2015 17:29;Joe;Cotacao;N;N;;;
ID0280;05/01/2015 17:29;Dan;Informacao;S;S;126;74.40;BOM
ID0281;05/01/2015 17:38;Diane;Cotacao;S;S;134;;BOM
ID0282;05/01/2015 17:38;Joe;RegistroSinistro;S;S;393;61.20;BOM
ID0283;05/01/2015 17:44;Martha;RegistroSinistro;S;S;188;880.00;RUIM
ID0284;05/01/2015 17:44;Martha;Cotacao;N;N;;;
ID0285;05/01/2015 17:57;Martha;Cotacao;S;S;74;75.00;BOM
ID0286;05/01/2015 17:57;Diane;RegistroSinistro;S;S;;;RUIM
ID0287;06/01/2015 09:08;Greg;Cotacao;N;N;75;;
ID0288;06/01/2015 09:08;Stewart;Sugestao;S;S;236;17.50;BOM
ID0289;06/01/2015 10:06;Stewart;Cotacao;S;S;311;30.00;BOM
ID0290;06/01/2015 10:06;Stewart;Informacao;S;S;352;;BOM
ID0291;06/01/2015 10:07;Joe;Sugestao;N;N;151;;
ID0292;06/01/2015 10:07;Jim;Informacao;S;S;136;1980.00;RUIM
ID0293;06/01/2015 10:32;Stewart;Informacao;S;S;;;BOM
ID0294;06/01/2015 10:32;Jim;Cotacao;S;S;392;69.60;BOM
ID0295;06/01/2015 10:42;Stewart;RegistroSinistro;S;S;336;;BOM
ID0296;06/01/2015 10:42;Stewart;Reclamacao;S;S;;;BOM
ID0297;06/01/2015 11:12;Dan;Sugestao;S;S;104;;BOM
ID0298;06/01/2015 11:12;Becky;RegistroSinistro;N;N;79;;
ID0299;06/01/2015 11:29;Martha;Cotacao;S;S;171;36.00;BOM
ID0300;06/01/2015 11:29;Diane;Sugestao;S;S;332;35.40;BOM
ID0301;06/01/2015 11:38;Dan;Sugestao;N;N;404;;
ID0302;06/01/2015 11:38;Joe;Informacao;S;S;300;870.00;RUIM
ID0303;06/01/2015 11:45;Stewart;Sugestao;S;S;133;;BOM
ID0304;06/01/2015 11:45;Greg;Cotacao;N;N;171;;
ID0305;06/01/2015 12:05;Joe;Reclamacao;S;N;418;1180.00;RUIM
ID0306;06/01/2015 12:05;Dan;Reclamacao;S;N;;;RUIM
ID0307;06/01/2015 12:07;Becky;RegistroSinistro;S;N;;;BOM
ID0308;06/01/2015 12:07;Jim;Reclamacao;S;S;;;BOM
ID0309;06/01/2015 13:30;Greg;RegistroSinistro;S;S;311;640.00;RUIM
ID0310;06/01/2015 13:30;Diane;Reclamacao;N;N;202;;
ID0311;06/01/2015 13:58;Stewart;Sugestao;S;S;272;;BOM
ID0312;06/01/2015 13:58;Martha;RegistroSinistro;N;N;360;;
ID0313;06/01/2015 14:03;Joe;Sugestao;S;N;33;1600.00;RUIM
ID0314;06/01/2015 14:03;Greg;Sugestao;S;S;;;BOM
ID0315;06/01/2015 14:13;Joe;Cotacao;S;S;372;6.00;BOM
ID0316;06/01/2015 14:13;Martha;Cotacao;S;S;321;1120.00;RUIM
ID0317;06/01/2015 14:32;Martha;RegistroSinistro;S;N;125;1170.00;RUIM
ID0318;06/01/2015 14:32;Diane;RegistroSinistro;S;S;390;;BOM
ID0319;06/01/2015 14:57;Stewart;Sugestao;S;S;;;BOM
ID0320;06/01/2015 14:57;Stewart;Sugestao;S;S;198;2280.00;RUIM
ID0321;06/01/2015 15:02;Stewart;Sugestao;S;S;;;BOM
ID0322;06/01/2015 15:02;Greg;Reclamacao;N;N;266;;
ID0323;06/01/2015 15:12;Joe;Informacao;S;S;;;BOM
ID0324;06/01/2015 15:12;Greg;Informacao;S;S;357;17.40;BOM
ID0325;06/01/2015 16:17;Martha;Reclamacao;S;S;389;450.00;RUIM
ID0326;06/01/2015 16:17;Jim;Sugestao;S;S;220;590.00;RUIM
ID0327;06/01/2015 16:22;Greg;Sugestao;S;N;84;72.60;BOM
ID0328;06/01/2015 16:22;Jim;RegistroSinistro;S;S;217;280.00;RUIM
ID0329;06/01/2015 16:27;Dan;RegistroSinistro;S;S;;;RUIM
ID0330;06/01/2015 16:27;Dan;Informacao;N;N;375;;
ID0331;06/01/2015 16:35;Martha;Sugestao;N;N;;;
ID0332;06/01/2015 16:35;Jim;RegistroSinistro;N;N;405;;
ID0333;06/01/2015 16:39;Stewart;Reclamacao;S;S;;;RUIM
ID0334;06/01/2015 16:39;Diane;Informacao;S;S;318;57.60;BOM
ID0335;06/01/2015 17:00;Martha;Sugestao;S;S;271;23.00;BOM
ID0336;06/01/2015 17:00;Stewart;Informacao;S;S;;;BOM
ID0337;06/01/2015 17:19;Martha;Cotacao;S;S;222;67.20;BOM
ID0338;06/01/2015 17:19;Greg;Sugestao;S;S;143;34.20;BOM
ID0339;06/01/2015 17:21;Becky;Informacao;N;N;382;;
ID0340;06/01/2015 17:21;Jim;Reclamacao;S;S;295;69.60;BOM
ID0341;06/01/2015 17:22;Stewart;Reclamacao;S;S;292;1090.00;RUIM
ID0342;06/01/2015 17:22;Jim;Informacao;S;S;217;49.20;BOM
ID0343;06/01/2015 17:24;Greg;Reclamacao;S;S;123;63.00;BOM
ID0344;06/01/2015 17:24;Stewart;Sugestao;S;S;81;21.00;BOM
ID0345;07/01/2015 09:04;Dan;Informacao;S;S;350;55.00;BOM
ID0346;07/01/2015 09:04;Greg;Sugestao;S;S;271;42.00;BOM
ID0347;07/01/2015 09:07;Becky;Cotacao;S;S;269;;BOM
ID0348;07/01/2015 09:07;Diane;Cotacao;N;N;384;;
ID0349;07/01/2015 09:20;Joe;Cotacao;S;N;48;41.00;BOM
ID0350;07/01/2015 09:20;Joe;RegistroSinistro;S;S;112;;BOM
ID0351;07/01/2015 10:14;Joe;Informacao;S;S;220;;BOM
ID0352;07/01/2015 10:14;Becky;Informacao;S;S;346;31.80;BOM
ID0353;07/01/2015 10:23;Diane;Reclamacao;S;S;219;41.40;BOM
ID0354;07/01/2015 10:23;Greg;RegistroSinistro;S;S;365;280.00;RUIM
ID0355;07/01/2015 10:33;Joe;Reclamacao;S;S;372;;BOM
ID0356;07/01/2015 10:33;Stewart;Informacao;N;N;83;;
ID0357;07/01/2015 10:48;Becky;RegistroSinistro;N;N;348;;
ID0358;07/01/2015 10:48;Joe;RegistroSinistro;S;N;118;1820.00;RUIM
